AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
0.0740740740740741,0,0,0.148148148148148,0,0,0,0,0.111111111111111,0.111111111111111,0.0740740740740741,0.111111111111111,0.037037037037037,0.037037037037037,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.037037037037037,0,0.037037037037037
0.0476190476190476,0.0476190476190476,0.0476190476190476,0,0,0,0,0,0.0476190476190476,0.19047619047619,0.0476190476190476,0,0.142857142857143,0,0.142857142857143,0.0476190476190476,0.0952380952380952,0.0476190476190476,0,0.0952380952380952
0.277777777777778,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0
0.290322580645161,0,0.0645161290322581,0.161290322580645,0.032258064516129,0,0,0,0,0.161290322580645,0,0,0.0645161290322581,0.032258064516129,0,0.0967741935483871,0.032258064516129,0.0645161290322581,0,0
0,0.105263157894737,0.0526315789473684,0.105263157894737,0.105263157894737,0,0.0526315789473684,0.0526315789473684,0.105263157894737,0,0.0526315789473684,0,0.0526315789473684,0.0526315789473684,0.105263157894737,0,0.0526315789473684,0,0.105263157894737,0
0,0,0.0666666666666667,0,0.0666666666666667,0.133333333333333,0.0666666666666667,0,0,0,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0,0,0.0666666666666667,0,0,0.0666666666666667
0.238095238095238,0,0,0,0,0.0952380952380952,0,0.0476190476190476,0.0476190476190476,0.142857142857143,0,0,0,0.0476190476190476,0.0476190476190476,0.142857142857143,0.0952380952380952,0.0952380952380952,0,0
0.333333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,0,0.0833333333333333,0,0.0416666666666667,0,0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,0
0.0285714285714286,0,0.0857142857142857,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0571428571428571,0.0285714285714286,0,0.0857142857142857,0.0285714285714286,0.0285714285714286,0.0857142857142857,0.0857142857142857,0.114285714285714,0.142857142857143,0.0857142857142857,0,0.0285714285714286
0.0625,0,0,0.125,0.125,0,0,0,0.0625,0.125,0.0625,0.125,0.125,0,0,0.0625,0.125,0,0,0
