AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
0,0,0,0,0,0.166666666666667,0.0833333333333333,0,0.416666666666667,0.0833333333333333,0,0,0.0833333333333333,0,0.166666666666667,0,0,0,0,0
0,0,0,0,0.105263157894737,0.0526315789473684,0.0526315789473684,0,0.105263157894737,0.157894736842105,0.0526315789473684,0.0526315789473684,0.105263157894737,0.105263157894737,0.0526315789473684,0,0,0,0.105263157894737,0.0526315789473684
0.0416666666666667,0,0,0,0.0416666666666667,0.0833333333333333,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.375,0,0.0833333333333333,0.0833333333333333,0.125,0
0.192307692307692,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0,0.115384615384615,0.192307692307692,0,0.0384615384615385,0.0384615384615385,0,0,0.0384615384615385,0.0769230769230769,0.0769230769230769,0,0
0.0588235294117647,0.0588235294117647,0,0,0.0588235294117647,0.117647058823529,0.0588235294117647,0,0.235294117647059,0.352941176470588,0,0,0,0,0.0588235294117647,0,0,0,0,0
0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0
0,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0,0.166666666666667
0.166666666666667,0,0,0,0,0,0.0833333333333333,0.25,0.166666666666667,0,0.0833333333333333,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0.0833333333333333
0,0,0,0,0,0,0,0,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0.416666666666667,0.0833333333333333,0.0833333333333333,0,0,0
0.0833333333333333,0,0,0,0,0,0.0833333333333333,0,0,0.25,0,0,0.166666666666667,0.0833333333333333,0,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0
0.0625,0,0,0,0,0.125,0,0.0625,0,0.125,0,0,0,0.0625,0.5,0.0625,0,0,0,0
0.0740740740740741,0,0,0.148148148148148,0.037037037037037,0.0740740740740741,0,0.037037037037037,0.185185185185185,0.259259259259259,0,0.037037037037037,0,0,0.148148148148148,0,0,0,0,0
0,0.1,0,0,0,0,0,0,0.1,0,0,0.3,0,0.2,0.1,0,0,0,0.1,0.1
0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0.2,0.0666666666666667,0,0,0.0333333333333333,0.0666666666666667,0.266666666666667,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0
0.25,0,0,0.375,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0
0.133333333333333,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333,0,0.1,0.166666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0,0.3,0.0666666666666667,0,0,0,0
0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333
